index,name,geometry
36,Queensboro Bridge Approach,"LINESTRING (-8233691.534314247 4976856.461252469, -8233683.407991418 4976870.54038251, -8233673.71206377 4976887.323672597, -8233639.069438235 4976945.4334654, -8233634.839297585 4976953.384275769)"
37,East 57th Street,"LINESTRING (-8233691.534314247 4976856.461252469, -8233680.279913725 4976850.171209278, -8233529.653510733 4976766.181885139, -8233514.848018458 4976757.937302738)"
38,East 57th Street,"LINESTRING (-8233691.534314247 4976856.461252469, -8233697.823865476 4976859.767935676, -8233710.247120648 4976866.748715011, -8233732.488754909 4976879.225951977, -8233763.346517757 4976896.14152483, -8233780.434059593 4976905.503153324)"
39,East 58th Street,"LINESTRING (-8233634.839297585 4976953.384275769, -8233625.410536715 4976949.357432001, -8233534.084026468 4976898.684007034, -8233475.452050666 4976865.60239722, -8233459.911849751 4976856.975625339)"
40,Queensboro Bridge Approach,"LINESTRING (-8233634.839297585 4976953.384275769, -8233627.88182941 4976966.184947094, -8233622.716605037 4976977.471890489, -8233607.3099875115 4977007.77622229)"
41,,"LINESTRING (-8233250.87610994 4976943.273079966, -8233294.680329568 4976972.298706481, -8233390.214716567 4977027.557859133, -8233500.287429063 4977091.223844874, -8233505.374729792 4977094.574697722, -8233508.146585112 4977096.926174091, -8233510.295051285 4977098.910232718, -8233512.4546494065 4977101.4233742235, -8233513.97972643 4977104.671353386, -8233514.725567019 4977107.199193117, -8233515.493671506 4977110.020968476, -8233515.638386843 4977112.490022583, -8233515.538199302 4977116.090727607, -8233515.048393542 4977119.426892222, -8233514.1467056675 4977123.24805133, -8233512.554836949 4977128.186166855)"
42,Ed Koch Queensboro Bridge Lower Level,"LINESTRING (-8233250.87610994 4976943.273079966, -8233393.9550514575 4977021.003166706, -8233535.943061964 4977101.188226453)"
43,Central Park South,"LINESTRING (-8235313.069676885 4978016.499703622, -8235325.9048141735 4978023.672385238, -8235371.545805399 4978049.173662735, -8235503.314686651 4978122.7970328415)"
44,Central Park South,"LINESTRING (-8235313.069676885 4978016.499703622, -8235300.112088157 4978009.268234865, -8235153.537714631 4977927.517734824, -8235092.924251894 4977893.712442142, -8235058.326154154 4977874.414081865, -8235050.778692679 4977870.210483694, -8235017.527560778 4977851.661760917, -8235012.384600304 4977848.795677735, -8234997.812878959 4977840.667764359)"
45,7th Avenue,"LINESTRING (-8235313.069676885 4978016.499703622, -8235320.450159125 4978002.330733284, -8235359.345189208 4977927.738204509, -8235363.842496636 4977919.110494583)"
46,East 62nd Street,"LINESTRING (-8233411.777301933 4977311.236228266, -8233402.01458259 4977305.680744378, -8233271.258708703 4977233.592013753, -8233255.150778388 4977224.685675393)"
47,Queensboro Bridge Exit,"LINESTRING (-8233411.777301933 4977311.236228266, -8233407.613952976 4977319.628248279, -8233368.930429927 4977397.199660737, -8233364.555573939 4977406.047367605)"
48,,"LINESTRING (-8237475.896063508 4976826.862813516, -8237505.6072356 4976831.727297573, -8237527.971321302 4976835.827574535, -8237553.274241557 4976839.648622717)"
49,Galvin Avenue,"LINESTRING (-8237303.217269389 4976915.908239164, -8237309.86304299 4976908.280781088, -8237367.159184902 4976842.411535408, -8237372.714027492 4976836.312553645)"
50,West 41st Street,"LINESTRING (-8237303.217269389 4976915.908239164, -8237323.210249935 4976927.22451742, -8237485.770102341 4977017.035081503, -8237491.3472088305 4977020.003796948, -8237500.185976399 4977024.7067143535)"
51,Lincoln Tunnel,"LINESTRING (-8237553.274241557 4976839.648622717, -8237580.1467666365 4976846.541209561, -8237603.635179194 4976854.183315799, -8237627.50207802 4976863.985795437)"
52,West 39th Street,"LINESTRING (-8237292.441542681 4976672.170544482, -8237308.182118678 4976679.856602624, -8237403.415943052 4976733.571001838)"
53,10th Avenue,"LINESTRING (-8237292.441542681 4976672.170544482, -8237285.651053743 4976684.280130224, -8237273.417041704 4976706.427190549, -8237247.501864248 4976753.219817543, -8237242.180792588 4976762.831144928)"
54,West 72nd Street,"LINESTRING (-8236048.913774927 4979991.390793099, -8236056.995569959 4979995.47769562, -8236087.775409162 4980011.987035083, -8236111.475328755 4980025.732588342, -8236146.496440557 4980045.402729229, -8236154.734082876 4980048.254755936, -8236160.990238259 4980050.121804797, -8236166.133198733 4980050.974472901, -8236172.701048689 4980051.547818735, -8236179.83662805 4980051.621324615, -8236187.695784099 4980051.239094051, -8236194.6643842235 4980049.813080157)"
55,West 72nd Street,"LINESTRING (-8236048.913774927 4979991.390793099, -8236037.381075681 4979985.333947904, -8235968.218276051 4979948.3020076575, -8235929.345509867 4979926.309306116, -8235914.706996826 4979918.135560684)"
56,Riverside Drive,"LINESTRING (-8236048.913774927 4979991.390793099, -8236042.857994628 4980010.913853663, -8236017.4103590315 4980092.593587535, -8236014.05964236 4980103.0755754905)"
57,,"LINESTRING (-8233674.43564046 4977097.205411948, -8233658.739592259 4977101.379284016, -8233651.526089255 4977103.642581589, -8233644.490697436 4977105.582551353, -8233637.332854179 4977107.096315907, -8233628.004280849 4977108.507203469)"
58,East 59th Street,"LINESTRING (-8233674.43564046 4977097.205411948, -8233600.842325096 4977055.819509347, -8233569.917770554 4977038.903660004, -8233542.421856329 4977024.001276599, -8233512.877663471 4977009.451634261)"
59,2nd Avenue,"LINESTRING (-8233674.43564046 4977097.205411948, -8233678.955211787 4977088.490255242, -8233690.2986678975 4977067.6503336355, -8233719.876256601 4977012.861245469, -8233724.184320896 4977004.675241246)"
60,West 54th Street,"LINESTRING (-8237089.1053607995 4978385.252914954, -8237082.236948216 4978377.888885271, -8237076.270223509 4978372.112314975, -8237068.65597034 4978366.144665789)"
61,12th Avenue,"LINESTRING (-8237089.1053607995 4978385.252914954, -8237098.600913363 4978366.27695354, -8237126.586633348 4978314.317402792)"
62,West 77th Street,"LINESTRING (-8234702.7494366625 4979870.18109849, -8234715.35080302 4979878.634121174, -8234719.336040791 4979880.795155973, -8234829.842899302 4979942.274591212, -8234886.626971555 4979973.587795239, -8234999.104185053 4980036.214504527, -8235003.334325703 4980038.463781135, -8235020.054513221 4980044.447153457)"
63,Central Park West,"LINESTRING (-8234702.7494366625 4979870.18109849, -8234696.337433992 4979881.868323092, -8234603.085096556 4980050.768656455, -8234532.675518627 4980177.2877839925, -8234504.5116874585 4980227.904714869, -8234494.47066939 4980245.399445575)"
64,Central Park West,"LINESTRING (-8234702.7494366625 4979870.18109849, -8234708.894272555 4979858.993717983, -8234711.688391774 4979853.995418087, -8234752.164158626 4979779.9179733815, -8234756.95089673 4979771.229824088)"
65,York Avenue,"LINESTRING (-8233107.808300372 4976903.048847969, -8233103.110617861 4976911.411124434, -8233083.963665444 4976945.506947906, -8233061.855614575 4976984.849561058, -8233057.157932062 4976993.226604116)"
66,"['FDR Drive', 'East 60th Street']","LINESTRING (-8233107.808300372 4976903.048847969, -8233092.223571662 4976898.272506979, -8233067.833471229 4976885.839334923, -8233042.864509444 4976871.965932298, -8233041.027737846 4976871.1429344565, -8233039.5360566685 4976870.687346397, -8233038.244750576 4976870.393418626, -8233036.920048636 4976870.305240297, -8233035.272520172 4976870.4669005675, -8233033.925554333 4976870.716739173, -8233032.923678916 4976870.9518813975, -8233031.78822011 4976871.407469469, -8233030.46351817 4976872.186378161, -8233029.350323262 4976873.171036407, -8233028.025621322 4976875.404888316, -8232985.713082871 4976953.09034551)"
67,York Avenue,"LINESTRING (-8233107.808300372 4976903.048847969, -8233112.851073306 4976893.907668178, -8233154.117208542 4976819.23542496, -8233158.681307665 4976810.976101488)"
68,Dyer Avenue,"LINESTRING (-8237064.737524263 4976662.809139579, -8237061.464731233 4976668.099728375, -8237059.34966091 4976671.538612628, -8237056.989687703 4976675.344900459, -8237052.058234262 4976688.644875367, -8237047.327155903 4976710.2040996775, -8237040.759305946 4976724.503461469, -8237033.723914129 4976737.436098589, -8237026.32116799 4976750.750854236, -8237018.272768806 4976766.387632383)"
69,West 40th Street,"LINESTRING (-8237064.737524263 4976662.809139579, -8237032.644115068 4976645.012207739, -8237027.156064171 4976642.043606244, -8237024.584583934 4976640.647482091, -8236941.273077024 4976595.574823184, -8236927.480592116 4976587.594912088)"
70,Central Park West,"LINESTRING (-8234285.9803950805 4980625.322160852, -8234290.11034819 4980617.838825577, -8234332.111192067 4980541.300366208, -8234337.5213193195 4980531.802934991)"
71,West 85th Street,"LINESTRING (-8234285.9803950805 4980625.322160852, -8234299.294206182 4980632.673183405, -8234586.565284122 4980791.588941984, -8234603.207547995 4980800.792579816)"
72,Central Park West,"LINESTRING (-8234285.9803950805 4980625.322160852, -8234280.603663676 4980634.408025535, -8234267.72399859 4980657.196234668, -8234236.9552913355 4980710.726682227, -8234229.752920281 4980724.340899442)"
73,West 79th Street,"LINESTRING (-8235875.934418184 4980769.3297004085, -8235812.838530801 4980734.16196641, -8235793.435543557 4980723.444065974, -8235759.071216748 4980704.213623901, -8235732.688497431 4980689.614391563)"
74,5th Avenue,"LINESTRING (-8234690.482028778 4977542.879203456, -8234695.791968488 4977533.223016415, -8234700.411727356 4977524.742628667, -8234736.735277203 4977458.060876172, -8234745.162162656 4977442.746330331)"
75,East 58th Street,"LINESTRING (-8234690.482028778 4977542.879203456, -8234676.210870057 4977535.3541375445, -8234578.706128072 4977480.415453078, -8234522.879403439 4977449.360094784, -8234510.545203859 4977442.599357837)"
76,West 58th Street,"LINESTRING (-8234763.151392367 4977582.885608238, -8234704.909034783 4977550.227906231, -8234690.482028778 4977542.879203456)"
77,79th Street Transverse,"LINESTRING (-8234494.47066939 4980245.399445575, -8234490.0735495025 4980242.591465677, -8234485.253415552 4980239.3865472, -8234480.377621855 4980235.167229524, -8234477.060301028 4980231.888806248, -8234472.963743768 4980227.434268762, -8234469.212276927 4980222.068244454, -8234465.616657375 4980216.114166141, -8234463.189892476 4980210.953967873, -8234461.642551553 4980206.087800493, -8234459.917099446 4980200.765892119, -8234458.525605812 4980194.576604535, -8234457.891084714 4980189.166494137, -8234457.757501325 4980181.595284887, -8234458.013536155 4980175.876453054, -8234458.859564284 4980169.510765007, -8234459.805779955 4980163.791940252, -8234461.0080304565 4980157.911404151, -8234462.611031123 4980152.016170262, -8234480.210642618 4980092.505380111, -8234483.060421582 4980082.023403503, -8234485.164359958 4980072.2470960505, -8234486.511325796 4980064.308447575, -8234487.001131555 4980055.69355116, -8234487.257166386 4980047.152168194, -8234486.555853594 4980038.199160332, -8234485.921332496 4980029.907712094, -8234484.830401486 4980022.615947831, -8234483.405512003 4980016.11804959, -8234481.5019487105 4980009.370236761, -8234479.320086691 4980003.84262014, -8234475.82465468 4979997.888674887, -8234472.062055893 4979992.625684328, -8234467.898706934 4979986.759952382, -8234461.854058587 4979979.424117138, -8234453.727735758 4979971.2650283, -8234445.334246153 4979963.032441067, -8234405.459604549 4979927.661797029, -8234397.489129009 4979921.0316531565, -8234384.976818245 4979912.078760928, -8234374.579577804 4979905.286917123, -8234365.173080832 4979899.553546161, -8234354.775840391 4979893.849580442, -8234344.27841241 4979888.792458983, -8234334.871915437 4979884.499788171, -8234321.135090274 4979878.722326667, -8234275.861453368 4979861.389962663, -8234265.519872674 4979857.112004781, -8234255.256215623 4979852.466526864, -8234245.649343568 4979847.380025099, -8234229.0070796935 4979837.942072195, -8234179.71480917 4979810.289804752, -8234145.884815919 4979791.384578193, -8234134.697207094 4979784.9750384595, -8234078.658975429 4979754.1769647, -8234010.587106807 4979716.866588271, -8234001.3141932255 4979711.677252487, -8233992.31957837 4979707.16414967, -8233982.824025804 4979702.974463254, -8233973.228285697 4979699.387505085, -8233965.191018463 4979696.800191813, -8233940.633938793 4979689.508676281, -8233893.645981731 4979675.601889574, -8233886.165311949 4979673.661409282, -8233877.994461323 4979672.220749922, -8233868.454380964 4979671.338713681, -8233859.6156133935 4979670.941797402, -8233849.697046764 4979670.70658776, -8233837.986236334 4979669.662845048, -8233828.078801652 4979667.9575755065, -8233818.1936308695 4979665.825988996, -8233809.143356267 4979663.253385208, -8233799.4919564165 4979660.10745921, -8233790.4305498665 4979656.476415043, -8233781.80328933 4979652.492558421, -8233772.7975425245 4979647.920680683, -8233764.726879441 4979643.054793868, -8233755.710000688 4979636.939362518, -8233746.036336938 4979629.442084115, -8233736.618708018 4979620.959876078, -8233728.60370468 4979613.6684171725, -8233703.300784423 4979588.515865836, -8233694.8516350705 4979579.739684034, -8233685.077783779 4979569.346460509, -8233675.404120029 4979559.070851519, -8233662.836149519 4979546.854798248, -8233652.561360519 4979537.711143824, -8233642.921092615 4979529.670027155, -8233633.937609709 4979522.628542858, -8233625.443932561 4979516.5719884, -8233618.107978119 4979511.706167032, -8233603.614180417 4979503.385765111)"
78,Central Park West,"LINESTRING (-8234494.47066939 4980245.399445575, -8234486.177367324 4980260.042118227, -8234446.703475889 4980333.373423655, -8234444.198787346 4980338.033831964, -8234440.436188557 4980345.002396175)"
79,West 81st Street,"LINESTRING (-8234494.47066939 4980245.399445575, -8234501.071915192 4980249.265932304, -8234508.552584974 4980253.264733879, -8234540.300903749 4980271.082943151, -8234554.093388657 4980278.845341517, -8234599.16665048 4980304.102581933, -8234646.878184234 4980330.66832963, -8234745.240086299 4980385.152596127, -8234795.211405716 4980413.335753442, -8234800.487949579 4980417.231710123, -8234805.998264374 4980421.627527262, -8234809.337849097 4980424.641382966)"
80,Central Park West,"LINESTRING (-8234494.47066939 4980245.399445575, -8234504.5116874585 4980227.904714869, -8234532.675518627 4980177.2877839925, -8234603.085096556 4980050.768656455, -8234696.337433992 4979881.868323092, -8234702.7494366625 4979870.18109849)"
81,York Avenue,"LINESTRING (-8233057.157932062 4976993.226604116, -8233061.855614575 4976984.849561058, -8233083.963665444 4976945.506947906, -8233103.110617861 4976911.411124434, -8233107.808300372 4976903.048847969)"
82,East 61st Street,"LINESTRING (-8233057.157932062 4976993.226604116, -8233071.373431037 4977001.074577287, -8233122.636056547 4977029.703566578, -8233134.124227997 4977036.096601825, -8233141.927724302 4977040.446807514, -8233191.87677982 4977068.25289774, -8233292.888085766 4977124.4972767485, -8233307.938480922 4977132.874439557)"
83,York Avenue,"LINESTRING (-8233057.157932062 4976993.226604116, -8233052.193082773 4977002.294393909, -8233045.235614598 4977014.992253081, -8233011.494676938 4977076.585922223, -8233006.808126376 4977085.139404481)"
84,York Avenue,"LINESTRING (-8233006.808126376 4977085.139404481, -8233011.494676938 4977076.585922223, -8233045.235614598 4977014.992253081, -8233052.193082773 4977002.294393909, -8233057.157932062 4976993.226604116)"
85,York Avenue,"LINESTRING (-8233006.808126376 4977085.139404481, -8233001.620638105 4977094.780451882, -8232955.968514931 4977179.566231241)"
86,East 62nd Street,"LINESTRING (-8233006.808126376 4977085.139404481, -8232993.049037314 4977077.247273677, -8232966.955748672 4977062.579978615, -8232924.999432593 4977040.035301488)"
87,East 63rd Street,"LINESTRING (-8232955.968514931 4977179.566231241, -8232969.927979077 4977186.326786147, -8233190.730189065 4977310.207434717, -8233204.032868214 4977317.188535937)"
88,East 63rd Street,"LINESTRING (-8232955.968514931 4977179.566231241, -8232941.496981128 4977167.176791676, -8232895.53316338 4977141.677816637)"
89,York Avenue,"LINESTRING (-8232955.968514931 4977179.566231241, -8233001.620638105 4977094.780451882, -8233006.808126376 4977085.139404481)"
90,York Avenue,"LINESTRING (-8232955.968514931 4977179.566231241, -8232950.046318022 4977191.147358588, -8232910.63921828 4977261.663199336, -8232906.030591361 4977269.908206866)"
91,York Avenue,"LINESTRING (-8232906.030591361 4977269.908206866, -8232900.820839191 4977279.299587558, -8232859.276405227 4977354.2251985, -8232854.812493647 4977362.279221485)"
92,York Avenue,"LINESTRING (-8232906.030591361 4977269.908206866, -8232910.63921828 4977261.663199336, -8232950.046318022 4977191.147358588, -8232955.968514931 4977179.566231241)"
93,York Avenue,"LINESTRING (-8232854.812493647 4977362.279221485, -8232859.276405227 4977354.2251985, -8232900.820839191 4977279.299587558, -8232906.030591361 4977269.908206866)"
94,York Avenue,"LINESTRING (-8232854.812493647 4977362.279221485, -8232850.437637659 4977370.18627971, -8232808.793016154 4977445.288954801, -8232803.727979322 4977454.415953295)"
95,East 66th Street,"LINESTRING (-8232803.727979322 4977454.415953295, -8232817.075186267 4977461.99974597, -8232862.348823173 4977486.882269877, -8233038.511917355 4977584.796278252, -8233052.549305143 4977592.703516596)"
96,York Avenue,"LINESTRING (-8232803.727979322 4977454.415953295, -8232808.793016154 4977445.288954801, -8232850.437637659 4977370.18627971, -8232854.812493647 4977362.279221485)"
97,York Avenue,"LINESTRING (-8232803.727979322 4977454.415953295, -8232798.31785207 4977464.174943406, -8232757.474730899 4977537.83799655, -8232753.08874296 4977545.745196882)"
98,East 67th Street,"LINESTRING (-8232753.08874296 4977545.745196882, -8232766.435949906 4977553.329060461, -8232987.382875233 4977676.993899318, -8233000.318200062 4977684.107541187)"
99,York Avenue,"LINESTRING (-8232753.08874296 4977545.745196882, -8232757.474730899 4977537.83799655, -8232798.31785207 4977464.174943406, -8232803.727979322 4977454.415953295)"
100,York Avenue,"LINESTRING (-8232753.08874296 4977545.745196882, -8232748.268609009 4977554.431366705, -8232729.010337101 4977589.161425765, -8232706.880022332 4977629.06513739, -8232702.082152279 4977637.707288676)"
101,East 68th Street,"LINESTRING (-8232702.082152279 4977637.707288676, -8232688.067028387 4977630.226242306, -8232657.142473846 4977613.706230931, -8232617.79103385 4977592.688819121, -8232577.248475304 4977570.010641575, -8232574.287376848 4977569.114097724, -8232571.459861782 4977568.864241257, -8232568.376311887 4977568.702569426, -8232564.4801297095 4977568.540897601, -8232559.459620673 4977568.864241257, -8232554.583826977 4977569.995944135, -8232549.24049142 4977571.465688326, -8232545.177330004 4977572.920735294)"
102,York Avenue,"LINESTRING (-8232702.082152279 4977637.707288676, -8232706.880022332 4977629.06513739, -8232729.010337101 4977589.161425765, -8232748.268609009 4977554.431366705, -8232753.08874296 4977545.745196882)"
103,York Avenue,"LINESTRING (-8232702.082152279 4977637.707288676, -8232697.306546125 4977646.334750053, -8232655.38362589 4977722.086245759, -8232651.487443713 4977729.111734384)"
104,East 69th Street,"LINESTRING (-8232651.487443713 4977729.111734384, -8232664.83465066 4977736.534065722, -8232886.204590051 4977860.406994288, -8232900.097262503 4977868.2115705125)"
105,York Avenue,"LINESTRING (-8232651.487443713 4977729.111734384, -8232655.38362589 4977722.086245759, -8232697.306546125 4977646.334750053, -8232702.082152279 4977637.707288676)"
106,York Avenue,"LINESTRING (-8232651.487443713 4977729.111734384, -8232645.8212816315 4977739.341325183, -8232605.779660794 4977811.6983487345, -8232600.7146239625 4977820.825689593)"
107,East 70th Street,"LINESTRING (-8232600.7146239625 4977820.825689593, -8232586.321013804 4977812.859475359, -8232538.409104965 4977786.271180048, -8232527.900545035 4977780.450866351)"
108,York Avenue,"LINESTRING (-8232600.7146239625 4977820.825689593, -8232605.779660794 4977811.6983487345, -8232645.8212816315 4977739.341325183, -8232651.487443713 4977729.111734384)"
109,York Avenue,"LINESTRING (-8232600.7146239625 4977820.825689593, -8232595.460343997 4977830.320484787, -8232554.105153167 4977905.044551131, -8232548.772949558 4977914.671709823)"
110,East 71st Street,"LINESTRING (-8232548.772949558 4977914.671709823, -8232562.565434468 4977922.608611147, -8232778.781281434 4978043.367890536, -8232783.590283438 4978046.057652923, -8232797.928233852 4978054.024057346)"
111,York Avenue,"LINESTRING (-8232548.772949558 4977914.671709823, -8232554.105153167 4977905.044551131, -8232595.460343997 4977830.320484787, -8232600.7146239625 4977820.825689593)"
112,Columbus Avenue,"LINESTRING (-8234970.47281202 4980133.815944461, -8234974.70295267 4980126.127167825, -8234982.395129484 4980112.160954236, -8234987.972235973 4980102.031786565, -8235015.078531981 4980052.797418749, -8235020.054513221 4980044.447153457)"
113,West 78th Street,"LINESTRING (-8235284.6720747845 4980307.92498722, -8235271.391659532 4980300.559507598, -8234983.230025666 4980140.887272105, -8234970.47281202 4980133.815944461)"
114,Amsterdam Avenue,"LINESTRING (-8235284.6720747845 4980307.92498722, -8235279.796281087 4980316.922347116, -8235262.920246284 4980348.08973634, -8235237.138652216 4980395.7231083, -8235229.769301924 4980409.160465743)"
115,West 78th Street,"LINESTRING (-8235480.594378582 4980417.12879804, -8235459.521598974 4980405.499739618)"
116,Broadway,"LINESTRING (-8235480.594378582 4980417.12879804, -8235483.867171609 4980408.572397197, -8235513.255517178 4980330.241983357, -8235514.858517847 4980325.890312122, -8235517.864144097 4980317.863247976)"
